[ERR] 2018-03-30 06:51:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:51:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:51:30 | Forged new block id: 9448242935623251415 height: 2528 round: 26 slot: 5828349 reward:100000000
[ERR] 2018-03-30 06:51:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:51:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:51:40 | Forged new block id: 5025933788522586687 height: 2529 round: 26 slot: 5828350 reward:100000000
[ERR] 2018-03-30 06:51:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:51:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:51:50 | Forged new block id: 4758877746665821748 height: 2530 round: 26 slot: 5828351 reward:100000000
[ERR] 2018-03-30 06:51:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:51:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:52:00 | Forged new block id: 2143127757716846347 height: 2531 round: 26 slot: 5828352 reward:100000000
[ERR] 2018-03-30 06:52:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:52:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:52:10 | Forged new block id: 342734191741824939 height: 2532 round: 26 slot: 5828353 reward:100000000
[ERR] 2018-03-30 06:52:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:52:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:52:21 | Forged new block id: 10757112108856914724 height: 2533 round: 26 slot: 5828354 reward:100000000
[ERR] 2018-03-30 06:52:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:52:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:52:30 | Forged new block id: 2073413607474147403 height: 2534 round: 26 slot: 5828355 reward:100000000
[ERR] 2018-03-30 06:52:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:52:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:52:40 | Forged new block id: 5877934992868492498 height: 2535 round: 26 slot: 5828356 reward:100000000
[ERR] 2018-03-30 06:52:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:52:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:52:50 | Forged new block id: 584118370058896243 height: 2536 round: 26 slot: 5828357 reward:100000000
[ERR] 2018-03-30 06:52:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:52:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:53:00 | Forged new block id: 13560055963706218737 height: 2537 round: 26 slot: 5828358 reward:100000000
[ERR] 2018-03-30 06:53:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:53:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:53:10 | Forged new block id: 3019734704183484087 height: 2538 round: 26 slot: 5828359 reward:100000000
[ERR] 2018-03-30 06:53:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:53:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:53:20 | Forged new block id: 18243750190656646313 height: 2539 round: 26 slot: 5828360 reward:100000000
[ERR] 2018-03-30 06:53:21 | Discovering new peers failed - "No acceptable peers found"
