[inf] 2018-02-13 05:52:40 | Forged new block id: 416955735423934768 height: 69 round: 1 slot: 5439196 reward:100000000
[ERR] 2018-02-13 05:52:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:52:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:52:51 | Forged new block id: 5456022162517632244 height: 70 round: 1 slot: 5439197 reward:100000000
[ERR] 2018-02-13 05:52:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:52:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:53:00 | Forged new block id: 3703247710180811073 height: 71 round: 1 slot: 5439198 reward:100000000
[ERR] 2018-02-13 05:53:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:53:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:53:10 | Forged new block id: 600957123432531199 height: 72 round: 1 slot: 5439199 reward:100000000
[ERR] 2018-02-13 05:53:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:53:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:53:20 | Forged new block id: 4290160683743205599 height: 73 round: 1 slot: 5439200 reward:100000000
[ERR] 2018-02-13 05:53:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:53:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:53:30 | Forged new block id: 4951230399765255767 height: 74 round: 1 slot: 5439201 reward:100000000
[ERR] 2018-02-13 05:53:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:53:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:53:40 | Forged new block id: 11589391198877439155 height: 75 round: 1 slot: 5439202 reward:100000000
[ERR] 2018-02-13 05:53:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:53:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:53:51 | Forged new block id: 11668401503736899000 height: 76 round: 1 slot: 5439203 reward:100000000
[ERR] 2018-02-13 05:53:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:53:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:54:00 | Forged new block id: 15122927279509926332 height: 77 round: 1 slot: 5439204 reward:100000000
[ERR] 2018-02-13 05:54:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:54:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:54:10 | Forged new block id: 8952480677007086384 height: 78 round: 1 slot: 5439205 reward:100000000
[ERR] 2018-02-13 05:54:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:54:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:54:20 | Forged new block id: 8130868599528220263 height: 79 round: 1 slot: 5439206 reward:100000000
[ERR] 2018-02-13 05:54:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:54:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:54:30 | Forged new block id: 6836887589464564865 height: 80 round: 1 slot: 5439207 reward:100000000
[ERR] 2018-02-13 05:54:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:54:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:54:40 | Forged new block id: 12675815528334907645 height: 81 round: 1 slot: 5439208 reward:100000000
[ERR] 2018-02-13 05:54:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:54:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:54:51 | Forged new block id: 7072777161836838677 height: 82 round: 1 slot: 5439209 reward:100000000
[ERR] 2018-02-13 05:54:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:54:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:55:00 | Forged new block id: 2284032723474748577 height: 83 round: 1 slot: 5439210 reward:100000000
[ERR] 2018-02-13 05:55:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:55:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:55:10 | Forged new block id: 15579850265736988248 height: 84 round: 1 slot: 5439211 reward:100000000
[ERR] 2018-02-13 05:55:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:55:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:55:20 | Forged new block id: 18237409012110070550 height: 85 round: 1 slot: 5439212 reward:100000000
[ERR] 2018-02-13 05:55:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:55:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:55:31 | Forged new block id: 3720719526601789980 height: 86 round: 1 slot: 5439213 reward:100000000
[ERR] 2018-02-13 05:55:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:55:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:55:40 | Forged new block id: 4108818333463471223 height: 87 round: 1 slot: 5439214 reward:100000000
[ERR] 2018-02-13 05:55:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:55:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:55:50 | Forged new block id: 8926609719388022757 height: 88 round: 1 slot: 5439215 reward:100000000
[ERR] 2018-02-13 05:55:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:55:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:56:00 | Forged new block id: 10981391646964715259 height: 89 round: 1 slot: 5439216 reward:100000000
[ERR] 2018-02-13 05:56:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:56:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:56:10 | Forged new block id: 5392846589796565637 height: 90 round: 1 slot: 5439217 reward:100000000
[ERR] 2018-02-13 05:56:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:56:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:56:21 | Forged new block id: 9234631343582458096 height: 91 round: 1 slot: 5439218 reward:100000000
[ERR] 2018-02-13 05:56:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:56:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:56:30 | Forged new block id: 1706542972370329247 height: 92 round: 1 slot: 5439219 reward:100000000
[ERR] 2018-02-13 05:56:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:56:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:56:40 | Forged new block id: 1591725556476659452 height: 93 round: 1 slot: 5439220 reward:100000000
[ERR] 2018-02-13 05:56:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:56:46 | Discovering new peers failed - "No acceptable peers found"
